step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
5000,20
1,2,0.01801449209780638,1,0,0,0,0,0
2,2,0.01801449209780638,0,1,0,1,0,0
3,4,0.01804281788823195,0,0,1,1,0,0
4,6,0.018071187398179714,2,0,0,2,0,0
5,7,0.018085388568252102,0,2,0,4,0,0
6,9,0.018113823779197482,0,1,1,5,0,0
7,13,0.01817082591201844,2,0,1,6,0,0
8,16,0.01821369301532705,2,2,0,9,0,0
9,21,0.018285358847848064,0,3,1,12,0,0
10,23,0.01831410260297581,0,5,1,15,0,0
11,36,0.018502020732330753,2,0,5,16,0,0
12,41,0.01857479959062972,3,10,0,23,0,0
13,52,0.018735903105158967,0,5,8,26,2,0
14,67,0.01895780036509101,9,4,4,34,1,0
15,72,0.019032337296026942,3,13,3,45,3,0
16,98,0.019424585489778573,6,2,13,50,1,0
17,108,0.01957755093316125,7,20,2,67,2,0
18,130,0.019918241989566786,2,10,16,77,3,0
19,153,0.020280628612813014,8,17,9,91,5,0
20,165,0.020472255157264158,5,22,12,100,13,1
21,193,0.020926303677817747,14,10,21,108,10,2
22,207,0.021157009152448544,14,23,7,136,10,3
23,238,0.02167674744058438,12,12,20,152,8,3
24,256,0.021984238955344744,13,26,7,172,17,3
25,288,0.02254145110708628,20,15,22,176,20,3
26,314,0.023004324628862545,24,27,13,184,36,4
27,351,0.023679065803749212,38,19,25,194,29,9
28,374,0.024108192660146795,31,30,17,218,41,14
29,417,0.024930908321445913,40,19,27,236,33,19
30,436,0.025303090948752292,33,37,10,250,62,25
31,472,0.026023175571874023,40,19,30,244,58,45
32,500,0.026596993576865856,57,23,15,245,75,57
33,525,0.02711971720176304,62,27,17,252,72,70
34,560,0.0278683392006816,57,21,22,245,93,87
35,591,0.028548138065137455,82,35,19,242,87,95
36,629,0.029403417695812936,60,31,25,280,75,120
37,672,0.03040120873618428,61,31,21,265,113,138
38,704,0.031164959192975017,70,44,21,252,111,174
39,731,0.031823789461967844,71,38,33,272,91,199
40,770,0.0327992634970502,60,34,27,264,136,210
41,795,0.03343969579449221,87,40,26,257,110,250
42,844,0.034730133699788494,78,33,37,263,120,264
43,879,0.035681131386984616,86,46,24,277,119,292
44,935,0.03725508662693502,75,43,37,268,141,315
45,972,0.03833141832157667,99,46,25,285,118,362
46,1014,0.039589380825209,83,42,28,298,145,376
47,1051,0.04073029916319181,88,48,33,287,140,418
48,1087,0.041870557151394754,81,47,38,295,139,451
49,1139,0.043571615329921494,95,53,33,267,182,457
50,1175,0.044787703049786735,101,53,40,276,145,524
51,1217,0.046247358648851274,92,54,35,292,168,534
52,1269,0.04811730151639354,95,53,34,299,159,577
53,1305,0.049453699700255885,92,57,36,296,170,618
54,1349,0.051134870898908044,96,58,41,266,203,641
55,1403,0.053272048634249024,116,65,42,272,176,678
56,1465,0.0558297298651821,103,74,45,299,183,699
57,1520,0.058194934579932696,108,78,45,319,183,732
58,1568,0.06033562717330779,107,58,50,344,180,781
59,1606,0.062082374597620435,103,67,40,329,213,816
60,1628,0.06311512319334764,118,53,38,328,199,870
61,1655,0.06440448303809333,125,41,45,294,234,889
62,1654,0.06435629459671646,109,60,26,303,211,946
63,1691,0.0661617958419516,116,54,39,274,236,935
64,1730,0.06811575937831019,131,65,40,278,204,973
65,1780,0.07069908292153071,124,76,41,307,214,968
66,1836,0.07369968303528036,118,65,51,301,224,1021
67,1886,0.0764773999369589,118,82,45,295,233,1063
68,1933,0.0791756864097739,131,79,50,310,225,1091
69,2004,0.08341703819692164,129,63,54,334,221,1132
70,2018,0.08427738004804934,102,102,37,340,249,1174
71,2076,0.08792805105000151,132,61,69,303,259,1194
72,2094,0.0890897569561909,128,81,41,336,224,1266
73,2136,0.09185440028893564,119,56,57,316,269,1277
74,2148,0.09265834897113309,137,73,36,301,259,1330
75,2195,0.0958682706194227,122,63,52,292,263,1356
76,2227,0.09811028874552076,146,88,38,301,245,1377
77,2280,0.10192649525878311,106,78,49,302,276,1416
78,2305,0.1037718753816451,149,84,50,297,243,1457
79,2329,0.10557117124141888,115,75,49,312,277,1477
80,2373,0.10894140690419186,142,77,51,309,249,1501
81,2416,0.11232592031437917,131,82,51,310,268,1531
82,2472,0.11687105370898378,160,71,55,306,265,1559
83,2512,0.12021455083553688,135,87,49,304,287,1610
84,2556,0.12398745722419517,165,75,57,312,262,1641
85,2578,0.1259117586246456,142,80,44,317,309,1664
86,2630,0.13056186561785596,165,80,51,300,299,1683
87,2655,0.13284899775450412,133,92,56,289,310,1750
88,2722,0.13914614112773036,169,75,60,285,294,1772
89,2757,0.14253411737434293,161,94,55,308,285,1819
90,2825,0.1493129345308437,147,77,69,286,330,1848
91,2849,0.15176814730187946,187,91,43,297,297,1910
92,2875,0.15446526508353467,147,90,56,313,321,1922
93,2915,0.1586910129609802,157,78,62,281,324,1973
94,2931,0.16040739261367876,154,98,51,281,325,2006
95,2971,0.1647640237577884,168,78,62,258,340,2025
96,3000,0.16798161486607552,178,107,50,278,323,2035
97,3043,0.17284455146956088,169,79,76,267,337,2072
98,3097,0.17910837904711052,199,93,63,270,344,2074
99,3116,0.18135412377488136,168,107,61,274,358,2129
100,3174,0.18834499779350192,202,73,78,266,347,2150
101,3179,0.1889572448550086,175,113,45,295,346,2200
102,3205,0.19216553584518478,171,69,74,256,370,2239
103,3205,0.19216553584518478,189,84,48,253,347,2284
104,3231,0.19541517519395465,176,73,62,254,337,2303
105,3234,0.19579279845944925,193,81,47,254,339,2317
106,3262,0.199343906805308,165,65,60,217,371,2356
107,3250,0.19781611144141825,170,99,42,239,306,2406
108,3292,0.2032021033075428,151,80,66,232,347,2374
109,3288,0.20268448013628643,185,89,53,234,314,2417
110,3326,0.20764164905105853,157,68,66,241,340,2416
111,3324,0.2073785296360352,182,98,42,248,324,2432
112,3345,0.21015356750795797,160,71,66,227,361,2439
113,3347,0.21041927314631884,191,86,45,228,341,2454
114,3370,0.21349259321304825,171,84,53,223,358,2458
115,3392,0.216462771460297,183,91,58,239,310,2489
116,3397,0.2171419674241957,163,80,61,235,363,2490
117,3402,0.2178227020552129,189,68,61,216,350,2513
118,3401,0.21768643204630328,207,76,48,219,361,2491
119,3397,0.2171419674241957,185,66,50,225,351,2524
120,3394,0.21673426519215802,190,63,44,215,356,2529
121,3393,0.21659848754953548,186,72,38,203,345,2550
122,3369,0.21335829319788516,163,77,46,205,331,2571
123,3395,0.21687010438657173,180,72,53,216,321,2527
124,3393,0.21659848754953548,178,82,48,221,326,2540
125,3430,0.22166323840810373,176,70,59,209,346,2533
126,3429,0.22152524622438408,183,93,43,249,301,2561
127,3462,0.22611142404323045,157,69,56,236,355,2556
128,3472,0.22751437095358926,184,97,44,235,316,2586
129,3508,0.23261569701088927,152,88,62,238,337,2595
130,3550,0.23866728515708957,191,100,59,236,325,2597
131,3571,0.2417333217034117,155,96,60,247,356,2636
132,3606,0.24690271934293193,189,99,61,249,335,2638
133,3656,0.25441544636484914,181,108,65,261,354,2637
134,3700,0.261149993915751,191,110,74,257,359,2665
135,3732,0.26611964702185936,203,92,76,281,357,2691
136,3769,0.27194039769113004,193,100,60,275,409,2695
137,3776,0.2730505499825685,219,105,61,273,383,2728
138,3811,0.2786435563294272,183,86,73,258,416,2760
139,3806,0.27784026335740425,220,108,53,250,385,2795
140,3844,0.2839808715744851,195,81,73,240,410,2807
141,3851,0.28512092785179843,209,110,52,250,380,2843
142,3885,0.29069727013811797,199,90,81,233,402,2846
143,3889,0.2913575273696213,226,99,69,236,384,2871
144,3908,0.294505769425149,193,89,71,225,435,2876
145,3884,0.2905323438687109,228,91,61,248,356,2924
146,3905,0.29400736238095626,212,74,63,235,448,2852
147,3881,0.2900378967531899,228,93,51,248,363,2922
148,3900,0.29317777890643243,199,80,66,228,437,2871
149,3895,0.29234956690584907,237,89,62,207,386,2919
150,3889,0.2913575273696213,207,90,58,235,415,2890
151,3894,0.29218408936575224,219,72,69,223,381,2925
152,3897,0.2926806869229714,204,91,53,232,396,2918
153,3898,0.29284632934877647,213,80,66,219,382,2937
154,3910,0.29483831408574157,212,94,56,220,408,2908
155,3911,0.2950046683265888,211,85,67,230,377,2940
156,3925,0.29733934565526854,226,92,56,233,410,2894
157,3947,0.3010295571485748,220,79,69,229,390,2938
158,3960,0.3032223468416273,219,114,48,248,401,2917
159,3981,0.30678351555246675,198,87,82,247,390,2956
160,4017,0.31294218143352065,248,103,57,253,417,2903
